Date : 2024-06-15 10:05:02
Directory : /home/wenzihao/Desktop/WandCalibration
Total : 70 files,  4887 codes, 523 comments, 593 blanks, all 6003 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         46 |      4,574 |        358 |        505 |      5,437 |
| YAML             |         21 |        255 |        165 |         82 |        502 |
| Markdown         |          2 |         46 |          0 |          5 |         51 |
| pip requirements |          1 |         12 |          0 |          1 |         13 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |         70 |      4,887 |        523 |        593 |      6,003 |
| . (Files)                                                                                                                                      |          4 |        277 |          2 |         13 |        292 |
| blender                                                                                                                                        |          1 |         12 |          1 |         10 |         23 |
| config                                                                                                                                         |         21 |        255 |        165 |         82 |        502 |
| config (Files)                                                                                                                                 |          6 |        161 |         86 |         63 |        310 |
| config/board                                                                                                                                   |          3 |         12 |         36 |          9 |         57 |
| config/labelme                                                                                                                                 |          1 |          6 |          2 |          0 |          8 |
| config/point                                                                                                                                   |          2 |         12 |          3 |          0 |         15 |
| config/pole                                                                                                                                    |          4 |         15 |          7 |          2 |         24 |
| config/wand                                                                                                                                    |          5 |         49 |         31 |          8 |         88 |
| extrinsicParameter                                                                                                                             |         28 |      3,403 |        295 |        384 |      4,082 |
| extrinsicParameter (Files)                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| extrinsicParameter/initPose                                                                                                                    |          4 |        251 |         12 |         27 |        290 |
| extrinsicParameter/poleDetection                                                                                                               |          5 |        689 |         59 |         44 |        792 |
| extrinsicParameter/refinePose                                                                                                                  |          8 |      1,475 |        103 |        216 |      1,794 |
| extrinsicParameter/refinePose (Files)                                                                                                          |          6 |      1,232 |         99 |        173 |      1,504 |
| extrinsicParameter/refinePose/linear_warmup_cosine_annealing_warm_restarts_weight_decay                                                        |          2 |        243 |          4 |         43 |        290 |
| extrinsicParameter/worldCoord                                                                                                                  |         10 |        988 |        121 |         96 |      1,205 |
| intrinsicParameter                                                                                                                             |          6 |        372 |         42 |         44 |        458 |
| intrinsicParameter (Files)                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| intrinsicParameter/charucoboardCalibration                                                                                                     |          2 |        159 |         13 |         14 |        186 |
| intrinsicParameter/checkerboardCalibration                                                                                                     |          2 |        140 |         23 |         23 |        186 |
| intrinsicParameter/intrinsicCalibration                                                                                                        |          1 |         73 |          6 |          6 |         85 |
| utils                                                                                                                                          |          4 |        151 |         11 |         23 |        185 |
| visualize                                                                                                                                      |          6 |        417 |          7 |         37 |        461 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/wenzihao/Desktop/WandCalibration/README.md                                                                                               | Markdown         |         40 |          0 |          4 |         44 |
| /home/wenzihao/Desktop/WandCalibration/blender/test.py                                                                                         | Python           |         12 |          1 |         10 |         23 |
| /home/wenzihao/Desktop/WandCalibration/config/board/board_sample.yaml                                                                          | YAML             |          3 |         14 |          4 |         21 |
| /home/wenzihao/Desktop/WandCalibration/config/board/charucoboard_4_5.yaml                                                                      | YAML             |          5 |         10 |          3 |         18 |
| /home/wenzihao/Desktop/WandCalibration/config/board/checkerboard_11_8.yaml                                                                     | YAML             |          4 |         12 |          2 |         18 |
| /home/wenzihao/Desktop/WandCalibration/config/cfg_archery.yaml                                                                                 | YAML             |         25 |         11 |         13 |         49 |
